geo_type,region,transportation_type,alternative_name,sub-region,country,dates,relative_mobility
city,Boston,transit,NA,Massachusetts,United States,2020-01-18,109.27
city,Boston,transit,NA,Massachusetts,United States,2020-01-19,95.06
city,Boston,transit,NA,Massachusetts,United States,2020-01-20,101.35
city,Boston,transit,NA,Massachusetts,United States,2020-01-21,101.06
city,Boston,transit,NA,Massachusetts,United States,2020-01-22,103.02
city,Boston,transit,NA,Massachusetts,United States,2020-01-23,106.54
city,Boston,transit,NA,Massachusetts,United States,2020-01-24,120.9
city,Boston,transit,NA,Massachusetts,United States,2020-01-25,117.23
city,Boston,transit,NA,Massachusetts,United States,2020-01-26,93.79
city,Boston,transit,NA,Massachusetts,United States,2020-01-27,96.13
city,Boston,transit,NA,Massachusetts,United States,2020-01-28,99.03
city,Boston,transit,NA,Massachusetts,United States,2020-01-29,100.64
city,Boston,transit,NA,Massachusetts,United States,2020-01-30,107.32
city,Boston,transit,NA,Massachusetts,United States,2020-01-31,121.19
city,Boston,transit,NA,Massachusetts,United States,2020-02-01,118.27
city,Boston,transit,NA,Massachusetts,United States,2020-02-02,86.04
city,Boston,transit,NA,Massachusetts,United States,2020-02-03,100.45
city,Boston,transit,NA,Massachusetts,United States,2020-02-04,102.22
city,Boston,transit,NA,Massachusetts,United States,2020-02-05,100.18
city,Boston,transit,NA,Massachusetts,United States,2020-02-06,101.07
city,Boston,transit,NA,Massachusetts,United States,2020-02-07,119.03
city,Boston,transit,NA,Massachusetts,United States,2020-02-08,120.94
city,Boston,transit,NA,Massachusetts,United States,2020-02-09,90.87
city,Boston,transit,NA,Massachusetts,United States,2020-02-10,97.37
city,Boston,transit,NA,Massachusetts,United States,2020-02-11,99.9
city,Boston,transit,NA,Massachusetts,United States,2020-02-12,102.97
city,Boston,transit,NA,Massachusetts,United States,2020-02-13,108.57
city,Boston,transit,NA,Massachusetts,United States,2020-02-14,129.43
city,Boston,transit,NA,Massachusetts,United States,2020-02-15,121.9
city,Boston,transit,NA,Massachusetts,United States,2020-02-16,101.62
city,Boston,transit,NA,Massachusetts,United States,2020-02-17,104.72
city,Boston,transit,NA,Massachusetts,United States,2020-02-18,107.78
city,Boston,transit,NA,Massachusetts,United States,2020-02-19,111.2
city,Boston,transit,NA,Massachusetts,United States,2020-02-20,112.32
city,Boston,transit,NA,Massachusetts,United States,2020-02-21,124.86
city,Boston,transit,NA,Massachusetts,United States,2020-02-22,123.07
city,Boston,transit,NA,Massachusetts,United States,2020-02-23,90.72
city,Boston,transit,NA,Massachusetts,United States,2020-02-24,98.85
city,Boston,transit,NA,Massachusetts,United States,2020-02-25,103.5
city,Boston,transit,NA,Massachusetts,United States,2020-02-26,104.59
city,Boston,transit,NA,Massachusetts,United States,2020-02-27,113.24
city,Boston,transit,NA,Massachusetts,United States,2020-02-28,126.75
city,Boston,transit,NA,Massachusetts,United States,2020-02-29,121.56
city,Boston,transit,NA,Massachusetts,United States,2020-03-01,90.25
city,Boston,transit,NA,Massachusetts,United States,2020-03-02,96.94
city,Boston,transit,NA,Massachusetts,United States,2020-03-03,105.92
city,Boston,transit,NA,Massachusetts,United States,2020-03-04,98.23
city,Boston,transit,NA,Massachusetts,United States,2020-03-05,105.63
city,Boston,transit,NA,Massachusetts,United States,2020-03-06,110.78
city,Boston,transit,NA,Massachusetts,United States,2020-03-07,104.82
city,Boston,transit,NA,Massachusetts,United States,2020-03-08,87.85
city,Boston,transit,NA,Massachusetts,United States,2020-03-09,98.17
city,Boston,transit,NA,Massachusetts,United States,2020-03-10,91.27
city,Boston,transit,NA,Massachusetts,United States,2020-03-11,82.99
city,Boston,transit,NA,Massachusetts,United States,2020-03-12,67.58
city,Boston,transit,NA,Massachusetts,United States,2020-03-13,60.01
city,Boston,transit,NA,Massachusetts,United States,2020-03-14,55.73
city,Boston,transit,NA,Massachusetts,United States,2020-03-15,40.6
city,Boston,transit,NA,Massachusetts,United States,2020-03-16,38.33
city,Boston,transit,NA,Massachusetts,United States,2020-03-17,30.97
city,Boston,transit,NA,Massachusetts,United States,2020-03-18,30.1
city,Boston,transit,NA,Massachusetts,United States,2020-03-19,25.85
city,Boston,transit,NA,Massachusetts,United States,2020-03-20,26.2
city,Boston,transit,NA,Massachusetts,United States,2020-03-21,23.17
city,Boston,transit,NA,Massachusetts,United States,2020-03-22,19.83
city,Boston,transit,NA,Massachusetts,United States,2020-03-23,19.95
city,Boston,transit,NA,Massachusetts,United States,2020-03-24,18.96
city,Boston,transit,NA,Massachusetts,United States,2020-03-25,18.18
city,Boston,transit,NA,Massachusetts,United States,2020-03-26,19.53
city,Boston,transit,NA,Massachusetts,United States,2020-03-27,20.19
