geo_type,region,transportation_type,alternative_name,sub-region,country,dates,relative_mobility
city,Seattle,transit,NA,Washington,United States,2020-04-07,18.04
city,Seattle,transit,NA,Washington,United States,2020-04-08,17.65
city,Seattle,transit,NA,Washington,United States,2020-04-09,17.9
city,Seattle,transit,NA,Washington,United States,2020-04-10,17.79
city,Seattle,transit,NA,Washington,United States,2020-04-11,16.11
city,Seattle,transit,NA,Washington,United States,2020-04-12,14.29
city,Seattle,transit,NA,Washington,United States,2020-04-13,17.78
city,Seattle,transit,NA,Washington,United States,2020-04-14,17.71
city,Seattle,transit,NA,Washington,United States,2020-04-15,17.37
city,Seattle,transit,NA,Washington,United States,2020-04-16,18.58
city,Seattle,transit,NA,Washington,United States,2020-04-17,17.9
city,Seattle,transit,NA,Washington,United States,2020-04-18,16.59
city,Seattle,transit,NA,Washington,United States,2020-04-19,15.73
city,Seattle,transit,NA,Washington,United States,2020-04-20,18.92
city,Seattle,transit,NA,Washington,United States,2020-04-21,17.55
city,Seattle,transit,NA,Washington,United States,2020-04-22,16.27
city,Seattle,transit,NA,Washington,United States,2020-04-23,17.39
city,Seattle,transit,NA,Washington,United States,2020-04-24,18.34
city,Seattle,transit,NA,Washington,United States,2020-04-25,15.96
city,Seattle,transit,NA,Washington,United States,2020-04-26,16.48
city,Seattle,transit,NA,Washington,United States,2020-04-27,18.32
city,Seattle,transit,NA,Washington,United States,2020-04-28,18.23
city,Seattle,transit,NA,Washington,United States,2020-04-29,18.66
city,Seattle,transit,NA,Washington,United States,2020-04-30,18.65
city,Seattle,transit,NA,Washington,United States,2020-05-01,19.91
city,Seattle,transit,NA,Washington,United States,2020-05-02,17.27
city,Seattle,transit,NA,Washington,United States,2020-05-03,16.14
city,Seattle,transit,NA,Washington,United States,2020-05-04,20.77
city,Seattle,transit,NA,Washington,United States,2020-05-05,20.31
city,Seattle,transit,NA,Washington,United States,2020-05-06,19.37
city,Seattle,transit,NA,Washington,United States,2020-05-07,21.27
city,Seattle,transit,NA,Washington,United States,2020-05-08,21.44
city,Seattle,transit,NA,Washington,United States,2020-05-09,21.04
city,Seattle,transit,NA,Washington,United States,2020-05-10,18.22
city,Seattle,transit,NA,Washington,United States,2020-05-11,NA
city,Seattle,transit,NA,Washington,United States,2020-05-12,NA
city,Seattle,transit,NA,Washington,United States,2020-05-13,20.82
city,Seattle,transit,NA,Washington,United States,2020-05-14,21.23
city,Seattle,transit,NA,Washington,United States,2020-05-15,21.39
city,Seattle,transit,NA,Washington,United States,2020-05-16,18.69
city,Seattle,transit,NA,Washington,United States,2020-05-17,18.53
city,Seattle,transit,NA,Washington,United States,2020-05-18,21.87
city,Seattle,transit,NA,Washington,United States,2020-05-19,21.87
city,Seattle,transit,NA,Washington,United States,2020-05-20,21.28
city,Seattle,transit,NA,Washington,United States,2020-05-21,21.53
city,Seattle,transit,NA,Washington,United States,2020-05-22,21.71
city,Seattle,transit,NA,Washington,United States,2020-05-23,20.75
city,Seattle,transit,NA,Washington,United States,2020-05-24,19.92
city,Seattle,transit,NA,Washington,United States,2020-05-25,19.45
city,Seattle,transit,NA,Washington,United States,2020-05-26,24.3
city,Seattle,transit,NA,Washington,United States,2020-05-27,25.16
city,Seattle,transit,NA,Washington,United States,2020-05-28,24.79
city,Seattle,transit,NA,Washington,United States,2020-05-29,25.85
city,Seattle,transit,NA,Washington,United States,2020-05-30,22.61
city,Seattle,transit,NA,Washington,United States,2020-05-31,20.83
city,Seattle,transit,NA,Washington,United States,2020-06-01,25.81
city,Seattle,transit,NA,Washington,United States,2020-06-02,25.55
city,Seattle,transit,NA,Washington,United States,2020-06-03,28.45
city,Seattle,transit,NA,Washington,United States,2020-06-04,25.48
city,Seattle,transit,NA,Washington,United States,2020-06-05,27.79
city,Seattle,transit,NA,Washington,United States,2020-06-06,25.66
city,Seattle,transit,NA,Washington,United States,2020-06-07,24.47
city,Seattle,transit,NA,Washington,United States,2020-06-08,27.85
city,Seattle,transit,NA,Washington,United States,2020-06-09,27.54
city,Seattle,transit,NA,Washington,United States,2020-06-10,30.25
city,Seattle,transit,NA,Washington,United States,2020-06-11,30.6
city,Seattle,transit,NA,Washington,United States,2020-06-12,34.59
city,Seattle,transit,NA,Washington,United States,2020-06-13,27.67
city,Seattle,transit,NA,Washington,United States,2020-06-14,27.11
city,Seattle,transit,NA,Washington,United States,2020-06-15,28.87
city,Seattle,transit,NA,Washington,United States,2020-06-16,30.78
city,Seattle,transit,NA,Washington,United States,2020-06-17,32.19
city,Seattle,transit,NA,Washington,United States,2020-06-18,33.96
city,Seattle,transit,NA,Washington,United States,2020-06-19,35.81
city,Seattle,transit,NA,Washington,United States,2020-06-20,29.91
city,Seattle,transit,NA,Washington,United States,2020-06-21,27.1
city,Seattle,transit,NA,Washington,United States,2020-06-22,35.88
city,Seattle,transit,NA,Washington,United States,2020-06-23,35.32
city,Seattle,transit,NA,Washington,United States,2020-06-24,34.62
city,Seattle,transit,NA,Washington,United States,2020-06-25,35.14
city,Seattle,transit,NA,Washington,United States,2020-06-26,35.92
city,Seattle,transit,NA,Washington,United States,2020-06-27,30.13
city,Seattle,transit,NA,Washington,United States,2020-06-28,28.89
city,Seattle,transit,NA,Washington,United States,2020-06-29,35.21
city,Seattle,transit,NA,Washington,United States,2020-06-30,33.39
city,Seattle,transit,NA,Washington,United States,2020-07-01,33.79
city,Seattle,transit,NA,Washington,United States,2020-07-02,34.12
city,Seattle,transit,NA,Washington,United States,2020-07-03,35.62
city,Seattle,transit,NA,Washington,United States,2020-07-04,27.09
city,Seattle,transit,NA,Washington,United States,2020-07-05,27.62
city,Seattle,transit,NA,Washington,United States,2020-07-06,34.91
city,Seattle,transit,NA,Washington,United States,2020-07-07,33.86
city,Seattle,transit,NA,Washington,United States,2020-07-08,35.28
city,Seattle,transit,NA,Washington,United States,2020-07-09,34.47
city,Seattle,transit,NA,Washington,United States,2020-07-10,35.64
city,Seattle,transit,NA,Washington,United States,2020-07-11,32.38
city,Seattle,transit,NA,Washington,United States,2020-07-12,28.02
city,Seattle,transit,NA,Washington,United States,2020-07-13,36.36
city,Seattle,transit,NA,Washington,United States,2020-07-14,36.02
city,Seattle,transit,NA,Washington,United States,2020-07-15,36.07
city,Seattle,transit,NA,Washington,United States,2020-07-16,35.87
city,Seattle,transit,NA,Washington,United States,2020-07-17,34.32
city,Seattle,transit,NA,Washington,United States,2020-07-18,33.16
city,Seattle,transit,NA,Washington,United States,2020-07-19,30.94
city,Seattle,transit,NA,Washington,United States,2020-07-20,36.23
city,Seattle,transit,NA,Washington,United States,2020-07-21,37.1
city,Seattle,transit,NA,Washington,United States,2020-07-22,37.56
city,Seattle,transit,NA,Washington,United States,2020-07-23,34.8
city,Seattle,transit,NA,Washington,United States,2020-07-24,35.14
city,Seattle,transit,NA,Washington,United States,2020-07-25,35.13
city,Seattle,transit,NA,Washington,United States,2020-07-26,32.06
city,Seattle,transit,NA,Washington,United States,2020-07-27,38.23
